اسد,Asad
عشور,Ashour
علي,Ali
انطوني,Antony
علاء,Aalaa
الاء,Alaa
اسلم,Aslam
اولي جاما,Aweli jama
انس,Anas
عبود,Abood
احمد,Ahmad
اكرم,Akram
امين,Ameen
امجد,Amjad
عَمر,Amr
انيس,Anis
عمار,Ammar
عطه,Atah
ايمن,Ayman
اديب,Adeeb
عفيفة,Afifah
عيني,Aini
امل,Amal
عامر,Amer
Amir,امير
Amira,اميره
افرا,Afra
الماس,Almas
امينة,Aminah
اية,Ayh
ابدقاني,Abdiqani
افنان,Afnan
امت السلام,Amtalslam
انابيا,Anabia
عايشة,Aysha
اكمل,Akmal
ابيل,Abeel
بشار,Bashar
برهان,Burhan
باسل,Bassel
بسيم,Bassim
بشر,Bishr
بهاء,Baha
بهير,Baahir
باسم,Basam
بلال,Bilal
بدر	Badr
بدر الدين,Badr al din
بركة,Barakah
بسيل,Basil
بطرس,Butrus
بشرى,Bushra
كارمين,Carmen
قنطرة,Cantara
كايتلين,Caitlyn
شمس,Chamis
دوانا,Dowana
دابر,Dabir
ضياء الدين,Diya al din
ضحى,Duha
دلال,Dalal
دانيا,Dania
ضياء,Diyaa
امير,Emir
عصام,Esam
عصام	Essam
إيهاب,Ehab
إميلي,Emily
فرحان,Farhan
فَلاح,Falah
فادي,Fady
فريدفس,Firdevs
فوزية,Fawzia
غريس,Grace
غبريالا,Gabriella
حسام,Haussam
هيثم,Haytham
حيدر,Haider
حسن,Hassan
حمزة,Hamza
هيفى	Hayfa
هيفاء,Haifa
هجرى,Hajrah
حفصى,Hafsa
هبة,Hiba
هاجر,Hager
هداية,Hedaya
حنان,Hanan
عصام,Issam
إسهامي,Ishaml
عزتي,Izzati
إيمان,Iman
إسراء,Israa
عزة,Izza
يشم,Jasham
جاويد=,Jawid
جوهرة,Jawhara
جفريا,Javaria
جميلة,Jamila
كريم,Karim
خليل,Khalil
خالد,Khalid
خضر,Khuder
خديجة,Khadija
لقمان الحكيم,Luqman Hakim
لينا,Lina
ليلى,Laila
ليلى,Layla
مصطفى,Mustafa
محمد,Mohamed
مشتاق,Mushtak
ماهر,Maher
مبارك,Mobarak
محمود,Mahmood
مهند,Muhanad
منتهى,Muntaha
مينى,Minna
محسنة,Mouhsina
نديم,Nadeem
نينوس,Ninos
نسيم,Nassim
نور,Nour
نظيف,Nazhif
ناصر,Nasser
نبيل,Nabil
نصر,Nasr
نغمة,Nagma
نفين,Nivin
نايف,Naif
نسمة,Nisma
نجاة,Najat
نجية,Najiya
نجمة,Najma
نادين,Nadine
اسامة,Osama
عمر,Omar
اسامة,Osamaa
